5689,188-1,1435.5,+4845,spiral Gal
5694,196-2,1439.6,-2632,Gal
5746,126-1,1444.9,+0157,edge on spiral Gal
5846,128-1,1506.4,+0136,elliptical Gal
5866,215-1,1506.5,+5546,M102
5897,19-6,1517.4,-2101,oval Gal
5907,759-2,1515.9,+5619,spiral Gal
5982,764-2,1538.7,+5921,elliptical Gal
6118,402-2,1621.8,-0217,spiral Blinking Galaxy
6144,10-6,1627.3,-2602,oval Gal
6171,40-6,1632.5,-1303,M107
6207,701-2,1643.1,+3650,spiral Gal
6217,280-1,1632.6,+7812,oval spiral Gal
6229,50-4,1647.0,+4732,oval Gal
6235,584-2,1653.4,-2211,Gal
6284,11-6,1704.5,-2446,round Gal
6287,195-2,1705.2,-2242,Gal
6293,12-6,1710.2,-2634,Gal
6304,147-1,1745.5,-2928,Gal
6316,45-1,1716.6,-2808,oval Gal
6342,149-1,1721.2,-1935,Gal
6355,46-1,1724.0,-2621,circular Gal
6356,48-1,1723.6,-1749,Gal
6369,11-4,1729.3,-2346,Pipe Nebula
6401,44-1,1738.6,-2355,Gal
6426,587-2,1744.9,+0300,Gal
6440,150-1,1748.9,-2022,Gal
6445,586-2,1749.2,-2001,circular Gal
6451,13-6,1750.7,-3013,star cluster
6514,41-1,1802.3,-2302,M20 Trifid Nebula
6517,199-2,1801.8,-0858,Gal
6520,7-7,1803.4,-2754,25 stars
6522,49-1,1803.6,-3002,Gal
6528,200-2,1804.8,-3003,Gal
6540,198-2,1806.3,-2749,20 stars
6543,37-4,1758.6,+6638,oval Gal
6544,197-2,1807.3,-2500,oval Gal
6553,12-4,1809.3,-2554,Gal
6568,30-7,1812.8-2136,33 stars
6569,201-2,1813.6,-3150,Gal
6583,31-7,1815.8,-2208,Gal
6624,50-1,1823.7,-3022,Gal
6629,204-2,1825.7,-2312,circular Gal
6633,72-8,1827.7,+0634,44 stars
6638,51-1,1830.9,-2530,Gal
6642,205-2,1831.9,-2329,Gal
6645,23-6,1832.6,-1645,50 stars
6664,12-8,1836.7,-0813,25 stars
6712,47-1,1853.1,-0842,Gal
6755,19-7,1907.8,+0414,35 stars
6756,62-7,1908.7,+0441,Gal
6781,743-3,1918.4,+0633,Gal
6802,14-6,1930.6,+2016,Gal
6818,51-4,1944.0,-1409,Gal
6823,18-7,1943.1,+2318,30 stars
6826,73-4,1944.8,+5031,Gal
6830,9-7,1951.0,-2304,20 stars
6834,16-8,1952.2,+2925,15 stars
6866,59-7,2003.7,+4400,36 stars
6882,22-8,2011.7,+2633,20 stars
6885,20-8,2012.0,+2629,42 stars
6910,56-8,2023.1,+4047,40 stars
6905,16-4,2022.4,+2007,oval Gal
6934,103-1,2034.2,+0723,Gal
6939,42-6,2031.4,+6038,Gal
6940,8-7,2034.6,+2818,100 stars
6946,76-4,2034.8,+6009,spiral Gal
7000,37-5,2058.8,+4420,North American Nebula
7006,52-1,2101.5,+1611,Gal
7008,192-1,2100.6,+5433,Gal 
7009,1-4,2104.2,-1122,Saturn Nebula
7044,24-6,2112.9,+4129,40 stars
7062,51-7,2123.2,+4623,30 stars
7086,32-6,2130.5,+5135,50 stars
7128,40-7,2144.0,+5329,20 stars
7142,66-7,2145.9,+6548,35 stars
7160,67-8,2153.7,+6236,25 bright
7209,53-7,2205.2,+4630,50 stars
7217,207-2,2207.9,+3122,spiral Gal
7243,75-8,2215.3,+4953,50 stars
7296,41-7,2228.2,+5217,15 stars
7331,53-1,2237.1,+3425,edge on spiral Gal
7380,77-8,2247.0,+5806,50 stars
7448,251-2,2300.1,+1559,elongated spiral Gal
7479,55-1,2304.9,+1219,Barred spiral Gal
7510,44-7,2311.5,+6034,20 stars
7606,104-1,2319.1,-0846,elongated spiral Gal
7662,18-4,2325.9,+4233,blue-green oval
7686,69-8,2330.2,+4908,35 stars
7723,110-1,2338.9,-1258,Barred spiral Gal
7727,111-1,2339.9,-1218,spiral Gal
7789,30-6,2357.0,+5644,circular Gal
7790,56-7,2358.4,+6113,25 stars

